lsoa_code,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000666,128.88333333333335,81.81666666666666,97.86666666666667
E01000667,131.18,70.7,97.5
E01000668,133.28000000000003,86.46,98.64
E01000669,140.8,95.47999999999999,99.92
E01000670,116.62857142857142,71.05714285714285,99.45714285714287
E01000671,137.03333333333333,93.66666666666667,100.0
E01000672,106.5,63.7,95.75
E01000673,141.18333333333334,81.88333333333334,88.93333333333334
E01000674,105.58,88.32000000000001,98.8
E01000676,105.2,72.36666666666666,91.46666666666665
E01000677,125.51666666666667,88.08333333333333,96.5
E01000678,145.52,95.1,99.6
E01000679,136.28,95.3,99.88
E01000680,104.96,63.220000000000006,89.12
E01000681,157.62,99.3,100.0
E01000682,148.5,99.86,100.0
E01000683,134.42000000000002,97.96000000000001,100.0
E01000684,164.13333333333333,100.0,100.0
E01000685,200.11999999999998,99.3,99.86
E01000686,139.26,92.82000000000001,100.0
E01000687,143.1,99.47999999999999,99.84
E01000688,187.7,99.45,99.625
E01000689,130.0,88.22,98.52000000000001
E01000690,164.0,98.225,100.0
E01000691,164.2,94.4,100.0
E01000692,140.18,92.62,99.0
E01000693,115.05000000000001,73.55,94.125
E01000694,133.81,89.28,95.47999999999999
E01000695,154.82,90.03999999999999,100.0
E01000696,116.5,73.4,96.36
E01000697,140.86666666666667,84.98333333333333,98.63333333333333
E01000698,157.25,86.5,99.475
E01000699,122.66,94.64000000000001,97.46000000000001
E01000700,125.71666666666665,98.2,100.0
E01000701,133.3,95.14,99.8
E01000702,134.68,89.14,98.53999999999999
E01000703,141.14000000000001,91.12,100.0
E01000704,139.92000000000002,95.88,99.84
E01000705,132.4,96.08,99.84
E01000706,132.14000000000001,96.7,100.0
E01000707,136.125,99.325,100.0
E01000708,133.35999999999999,89.76,100.0
E01000709,116.16,88.7,99.1
E01000710,159.44285714285712,82.15714285714286,99.87142857142858
E01000711,98.3375,79.925,100.0
E01000712,114.28333333333335,72.2,100.0
E01000713,147.64000000000001,84.1,99.9
E01000714,125.21428571428571,87.81428571428572,98.3
E01000715,111.98571428571428,82.31428571428572,99.8
E01000716,134.1,89.98333333333333,100.0
E01000717,117.07142857142857,84.11428571428571,99.75714285714285
E01000718,129.97777777777776,90.03333333333333,99.87777777777778
