lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01031263,19.156,0.068,0.058,23.592,0.342,0.64,18.945,39.76899999999999,1771
E01031264,29.542999999999996,0.19499999999999998,0.12199999999999998,37.065,0.602,0.587,23.724,15.118000000000002,1644
E01031265,30.947,0.151,0.127,43.007,0.46499999999999997,1.026,22.179999999999996,28.554,1539
E01031266,17.703,0.094,0.069,15.285,0.377,0.555,19.13,24.559,2141
E01031267,6.587,0.033,0.043,1.4310000000000003,-0.578,-0.8099999999999999,25.408,18.342,1746
E01031268,8.54,0.044,0.046,2.744,-0.955,-0.621,38.408,3.181,2597
E01031269,8.37,0.043,0.05,1.6840000000000002,-0.559,-0.69,28.769,19.305,1644
E01031271,15.985000000000001,0.10000000000000002,0.078,6.709,-0.12400000000000001,0.718,16.821,23.644,1676
E01031272,9.664,0.054,0.039,2.633,-0.7869999999999999,0.418,14.122,35.6,1821
E01031273,43.845,0.258,0.222,60.204,0.892,0.317,29.434,8.892,1375
E01031274,19.497,0.14,0.095,25.296,-0.026000000000000002,0.225,19.715,11.46,1528
E01031275,8.476,0.049,0.05700000000000001,4.621,-0.279,0.182,18.741,6.765,1194
E01031276,26.1,0.169,0.106,38.297,0.47700000000000004,0.295,24.846999999999998,12.793,1499
E01031277,6.043,0.045000000000000005,0.051000000000000004,4.202,-0.512,-0.235,7.955,12.514,1552
E01031278,7.491,0.036,0.042,2.684,-0.446,-0.257,27.605,12.112,1521
E01031279,11.008,0.074,0.063,16.528,0.248,-0.618,9.914,6.513,1214
E01031280,9.553,0.041,0.027,2.424,-0.792,-0.567,43.186,12.274,1223
E01031281,9.88,0.033,0.027,3.878,-0.801,-0.351,33.949,33.845,1430
E01031282,19.424,0.051,0.042,4.379,-0.8619999999999999,0.605,36.487,67.237,1473
E01031283,14.148,0.031,0.032,2.929,-0.728,-0.44300000000000006,41.861,50.386,1240
