lsoa_code,ics_score_z,ics_z,lisa_I,lisa_p,lisa_class,gistar_z,gistar_p,gistar_class
E01001252,-0.2351419072902402,-0.37754079412358543,0.15888124360050665,0.52,Not sig,-0.6816904406703931,0.5,Not sig
E01001270,-0.4214719376832947,-0.6767098722957506,-0.21129472721000447,0.41,Not sig,-0.3830815242763197,0.72,Not sig
E01001317,0.2893170924012773,0.4645237681256123,0.3959589698279792,0.15,Not sig,1.256523018203748,0.23,Not sig
E01001333,0.4054980287741105,0.6510623714979171,0.428424963160903,0.27,Not sig,1.084425564344862,0.27,Not sig
E01001362,-0.5328321320496953,-0.8555083548773915,0.003572388102698738,0.97,Not sig,-0.6860535910097246,0.44,Not sig
E01001367,0.4358783144178826,0.6998405637811571,0.028896720576557042,0.81,Not sig,0.7077717062847346,0.48,Not sig
E01001382,-0.623050671996721,-1.0003620715491215,0.5127491491437821,0.24,Not sig,-1.692221341477943,0.1,Not sig
E01032744,0.4345446383532921,0.6976992308034178,0.2961941946694796,0.25,Not sig,0.845777722577212,0.31,Not sig
E01001214,0.1377212827141266,0.22112350385689356,0.10515277696825842,0.47,Not sig,0.6588474069016221,0.54,Not sig
E01001226,-0.7916516455035734,-1.2710656061139656,0.8560737730602852,0.04,LL (coldspot),-1.9162266232170524,0.05,Not sig
E01001228,-0.3932459951860548,-0.6313906654044787,0.4973751188074744,0.16,Not sig,-1.1192617347934337,0.21,Not sig
E01001259,0.2810643046729595,0.451273199273006,0.17364930851936974,0.5,Not sig,0.9070205314477865,0.52,Not sig
E01001265,-0.0717602938532098,-0.11521739633778554,-0.10212094396317184,0.6,Not sig,0.7003870810100816,0.52,Not sig
E01001276,0.2012155560552361,0.3230690849561992,-0.012453928316763813,0.92,Not sig,0.2520689473643934,0.8,Not sig
E01001291,-0.1320117975259739,-0.21195642854984467,-0.06827127527119205,0.66,Not sig,0.1783858933595388,0.96,Not sig
E01001311,-0.1492572058463445,-0.23964543229778898,0.054949768289092524,0.76,Not sig,-0.3349856922483856,0.73,Not sig
E01001318,0.767303388263019,1.2319723603371628,0.07894395572132087,0.66,Not sig,1.386048877075914,0.17,Not sig
E01001336,0.3331198678777952,0.5348529358558434,0.06469224868123978,0.72,Not sig,0.5075881015919167,0.54,Not sig
E01001343,0.1177523416521003,0.1890616312913246,-0.0028701975207472423,1.0,Not sig,0.09513950988587255,0.92,Not sig
E01001353,0.2737054621147129,0.4394579371817549,0.04287583114052779,0.83,Not sig,0.5355581310427158,0.62,Not sig
E01001231,-0.3799264394652661,-0.6100049596315263,0.1610015266740237,0.48,Not sig,-0.7903670618705532,0.39,Not sig
E01001235,-0.6663481071268412,-1.0698798713786655,0.31760953927154856,0.25,Not sig,-1.2138032443589986,0.19,Not sig
E01001244,0.3191621524832586,0.5124426091942501,-0.1958987875619338,0.44,Not sig,0.11498377244153972,0.93,Not sig
E01001281,-0.702473668028701,-1.1278826030406717,0.7484310481573492,0.09,Not sig,-1.7421239204701635,0.1,Not sig
E01001350,-0.1683826366085349,-0.2703529756749909,0.05293244173764085,0.79,Not sig,-0.5152205276171775,0.71,Not sig
E01001371,-0.2597485882609563,-0.4170489616871115,0.08837774279492826,0.58,Not sig,-0.6623613912773725,0.53,Not sig
E01001195,-0.0245639751359239,-0.03943959962951836,-0.016299924874423777,0.89,Not sig,0.25114508064889524,0.74,Not sig
E01001205,-0.3105975023240849,-0.4986913180707386,0.1375014033617607,0.45,Not sig,-0.6623166801572806,0.42,Not sig
E01001323,0.6365383631398723,1.022017733373768,1.1630227848839054,0.06,Not sig,2.082091180553353,0.03,Hotspot (Gi*)
E01001375,-0.7670764804512649,-1.2316080400999474,0.9563578665578558,0.05,Not sig,-2.094512814459231,0.01,Coldspot (Gi*)
E01001377,-0.3633372214083386,-0.5833695264529943,0.7309120855251631,0.19,Not sig,-1.8415579667733641,0.07,Not sig
E01001381,-0.4337555226514572,-0.6964322368755378,0.26016659900061306,0.32,Not sig,-1.046350894074055,0.3,Not sig
E01001209,-0.9695178823388556,-1.5566453272126795,0.7174548013424598,0.06,Not sig,-1.6540272138840806,0.12,Not sig
E01001218,0.6278737940505023,1.0081060137129176,0.44612610826895444,0.23,Not sig,1.4267161299397664,0.13,Not sig
E01001225,-0.0013157907462632,-0.0021126165427890003,0.0017407184383313617,1.0,Not sig,-0.6931183892149295,0.48,Not sig
E01001234,-0.4527546007978288,-0.7269369101328808,0.27753961435302044,0.32,Not sig,-1.0540536138824008,0.35,Not sig
E01001250,0.6660595846445441,1.069416623426212,-0.335456150310955,0.17,Not sig,0.6866094148710657,0.51,Not sig
E01001258,0.2035172023179536,0.3267645783194701,0.24847225075322873,0.46,Not sig,0.9595021594444756,0.34,Not sig
E01001264,0.6704141961523752,1.0764083311388528,0.6242522644450114,0.11,Not sig,1.2930563913054274,0.19,Not sig
E01001283,1.4365381097525172,2.3064869422672793,3.0403694596087747,0.01,HH (hotspot),3.2442101384206117,0.01,Hotspot (Gi*)
E01001285,0.1877401451715169,0.30143314015669836,0.24546784293441548,0.37,Not sig,0.9272427640958857,0.29,Not sig
E01001324,0.0713461360461608,0.11455242993869935,0.14668778406520486,0.51,Not sig,1.194852053048243,0.25,Not sig
E01001354,-0.1602460052678626,-0.2572889060106389,0.041578419748834555,0.86,Not sig,-0.5102387211298132,0.72,Not sig
E01001387,-0.3072103628458191,-0.493252970890653,0.2246411319865867,0.36,Not sig,-0.9620978082408681,0.37,Not sig
E01001262,1.1139743699702938,1.7885827886595682,1.1167652393738567,0.05,Not sig,1.7107671247811933,0.1,Not sig
E01001302,-0.5426820182118883,-0.8713232042445492,0.6950276109138902,0.13,Not sig,-1.7238387151204166,0.07,Not sig
E01001361,0.031729310980977,0.05094416985385176,0.015340316386208344,0.9,Not sig,0.3834144779141255,0.76,Not sig
E01001386,-0.853527980139604,-1.370413445829789,0.5139052240852223,0.1,Not sig,-1.3705828563135964,0.15,Not sig
E01034030,-0.2689251305291611,-0.43178269883831344,0.24438330282210902,0.29,Not sig,-0.651764029279104,0.4,Not sig
E01001196,1.5296712466879945,2.4560202980312105,-0.5697020566056604,0.09,Not sig,1.9248960662830121,0.08,Not sig
E01001263,0.674022293686889,1.08220144570594,1.0679609727995207,0.02,HH (hotspot),1.6699587722637972,0.09,Not sig
E01001268,0.2350923248677489,0.37746118522963307,0.26928897470624236,0.33,Not sig,0.9240879575564201,0.36,Not sig
E01001307,-0.2525239946768863,-0.4054492480062011,0.061098331775205426,0.71,Not sig,-0.3725253297430688,0.67,Not sig
E01001314,-0.1542971013436782,-0.24773742308875688,0.03599736135642491,0.88,Not sig,-0.33767769012619264,0.74,Not sig
E01001320,0.7518035170217731,1.2070859682657984,1.0077362765901057,0.06,Not sig,2.036363500644015,0.06,Not sig
E01001335,0.6552884428657921,1.0521226179993173,-0.2960214888992684,0.41,Not sig,0.5374022609763185,0.54,Not sig
E01001271,0.1101404943028679,0.17684014799175457,-0.038670850104227716,0.85,Not sig,-0.01125127102395216,0.98,Not sig
E01001275,-0.3384366032368073,-0.5433894171352439,0.16735982534034882,0.46,Not sig,-0.8125893416294222,0.44,Not sig
E01001294,0.0899580491178793,0.14443547597771317,-0.01950245150721944,0.84,Not sig,-0.04969391900225492,1.0,Not sig
E01001321,1.029681620884099,1.6532434448752156,1.3513529223608183,0.01,HH (hotspot),2.3613755745771856,0.02,Hotspot (Gi*)
E01001261,0.4053195068254951,0.6507757389744956,0.3743339753747948,0.26,Not sig,1.2468269696482757,0.18,Not sig
E01001278,0.1609809853254974,0.25846898045089023,-0.04074753382732066,0.73,Not sig,0.005902339372801439,0.88,Not sig
E01001301,-0.2302342180257563,-0.36966107194399944,0.07164957677547497,0.62,Not sig,-0.5862280537456498,0.75,Not sig
E01001328,0.8139722370983478,1.3069032582496973,0.8540577605699172,0.08,Not sig,1.6197564671992262,0.07,Not sig
E01001329,-0.0002168471909551,-0.00034816703504598513,-0.00020335365681773922,0.99,Not sig,0.5973934744616222,0.59,Not sig
E01001341,0.0176637792543398,0.028360734688930286,0.002622802689207575,0.99,Not sig,0.05029057468475773,0.93,Not sig
