lsoa_code,Region name,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01002648,London,1.1762908352664918,5,-0.18006008358308334,-0.08143498947739672,-0.01580584818013464
E01002649,London,1.0882678478178418,3,-0.34656680338204554,0.07934114133252292,-0.5664553214879224
E01002651,London,1.1802144592052797,5,-0.4517591821717915,0.02748847732619812,0.1717704202882742
E01002653,London,1.0367517768442744,2,-0.5790148395752878,-0.28385022056673453,-0.29644125841693986
E01002654,London,1.1048455661786207,3,-0.44606720519584736,-0.17229838745699777,-0.1105301269251134
E01002655,London,1.097054581204965,3,-0.5316362836001208,-0.2297956039116773,-0.016709476080740915
E01002656,London,1.1051882702389704,3,-0.4816181651559128,-0.16028696097343437,-0.08482441263637806
E01002657,London,1.005134475619828,2,-0.466441624966474,-0.3096166699023985,-0.5830962285147385
E01002659,London,1.0572032767012312,3,-0.3993079809027686,-0.11699523456910554,-0.513732249026207
E01002661,London,1.1740771122194587,5,-0.3169240709755672,-0.18790873281293066,0.2135392721796564
E01002663,London,1.3871251073026674,9,-0.3747522613219389,0.07730954516851175,1.3527935124908599
E01002665,London,1.315078075805043,8,-0.49308116481581354,0.1843012757637616,0.9087322373836777
E01002666,London,1.0931663831159943,3,-0.5270561704494939,-0.31670582771056915,0.04104391935178647
E01002667,London,1.0997315636856537,3,-0.6192991930024503,-0.19057337839443286,0.04865201136423177
E01002669,London,1.2915819762831102,7,-0.18647051581853935,0.5603930137028506,0.07751453990560035
E01002670,London,0.9786327097931438,1,-0.4623083127124589,-0.34397858940747017,-0.7203812963730195
E01002671,London,1.0135446898203346,2,-0.801413744440432,-0.11076990604096054,-0.3938111740958406
E01002672,London,1.3889912489351395,9,1.0695712716746284,0.03429563470930227,-0.03672050951277095
E01002673,London,1.352935479784111,8,-0.32758667061626473,0.9995770452659021,0.1672529293151154
E01002674,London,0.992104433874837,2,-0.49495698571948105,-0.5418070676712321,-0.40475140374372637
E01002675,London,0.9666775426444949,1,-0.46245857787084876,-0.4447440517416411,-0.6950323820020282
E01002676,London,1.0620090886904539,3,-0.7404636887597075,-0.3596039853365117,0.10040902423999853
E01002677,London,1.0123097281628273,2,-0.2930278409352653,-0.27921542494233315,-0.7415575655605036
E01002680,London,0.9986836397122033,2,-0.43695691517375557,-0.4474684569206844,-0.5155039146570309
E01002681,London,1.0990839851072645,3,-0.28833868540969304,-0.17024518836488717,-0.3067299330363242
E01002682,London,1.101071921142992,3,-0.4633398741766311,-0.06213703486562117,-0.22727145313357355
E01002687,London,0.9768976836424026,1,-0.33177116568459447,-0.6327465291161162,-0.573117342989747
