lsoa_code,crime_count_window,crime_rate_per_1000_window
E01000576,98.0,57.78301886792453
E01000615,440.0,228.0974598237429
E01000481,138.0,90.31413612565444
E01000519,99.0,50.821355236139624
E01000563,66.0,46.67609618104668
E01000601,708.0,501.0615711252654
E01000608,294.0,121.48760330578511
E01000622,87.0,49.20814479638009
E01000643,268.0,116.87745311818578
E01000487,134.0,68.64754098360656
E01000486,68.0,41.38770541692027
E01000499,237.0,142.0011983223487
E01033463,83.0,28.879610299234514
E01000518,101.0,60.5515587529976
E01033938,764.0,279.2397660818713
E01000701,43.0,31.04693140794224
E01000702,53.0,40.48892284186402
E01000705,111.0,80.37653874004344
E01000746,78.0,38.3480825958702
E01000796,159.0,93.80530973451327
E01000669,86.0,50.8274231678487
E01000699,107.0,69.3454309786131
E01000741,101.0,55.01089324618736
E01000744,126.0,79.84790874524715
E01000781,161.0,108.93098782138024
E01000798,155.0,100.12919896640828
E01000805,86.0,47.830923248053395
E01032562,131.0,80.07334963325182
E01000707,34.0,21.99223803363519
E01000795,47.0,33.12191684284708
E01000801,185.0,115.40860885839052
E01000806,427.0,221.93347193347194
E01000674,91.0,54.45840813883902
E01000700,48.0,30.808729139922978
E01000778,77.0,46.35761589403974
E01000784,40.0,24.93765586034913
E01000785,194.0,127.12975098296201
E01000789,150.0,75.9493670886076
E01000709,74.0,55.100521221146685
E01000780,114.0,69.38527084601338
E01000825,89.0,52.756372258446945
E01000834,38.0,27.696793002915452
E01000672,70.0,42.5531914893617
E01000679,43.0,24.798154555940023
E01000682,142.0,88.80550343964978
E01000691,98.0,61.63522012578616
E01000703,129.0,74.26597582037996
E01000726,59.0,46.12978889757623
E01000768,56.0,36.36363636363636
E01000802,106.0,60.95457159286947
E01000822,84.0,49.26686217008798
E01000824,175.0,140.33680834001606
E01000833,27.0,18.132975151108123
E01032568,170.0,107.7996195307546
E01000762,59.0,35.6065178032589
E01000803,77.0,47.56022235948116
E01000708,60.0,36.56307129798903
E01000739,166.0,99.28229665071771
E01000774,76.0,51.66553365057784
E01000783,117.0,67.6300578034682
E01000811,28.0,20.771513353115726
E01000721,179.0,119.41294196130754
E01000782,245.0,162.25165562913907
E01000827,80.0,43.38394793926247
E01000829,49.0,26.659412404787812
E01000836,28.0,19.498607242339833
E01032563,62.0,41.36090727151434
E01000673,58.0,35.846724351050675
E01000677,357.0,186.8131868131868
E01000729,199.0,105.29100529100529
E01000742,122.0,56.01469237832874
E01000773,33.0,20.65081351689612
E01000777,41.0,25.386996904024766
E01000810,29.0,19.066403681788298
E01000816,76.0,51.59538357094365
E01000823,74.0,43.890865954922894
E01000647,52.0,31.94103194103194
E01000690,75.0,51.75983436853002
E01000704,79.0,53.1986531986532
E01000712,82.0,47.59141033081834
E01000799,413.0,229.31704608550805
E01000808,33.0,20.952380952380953
E01000812,49.0,31.715210355987054
E01000651,63.0,37.21204961606615
E01000683,63.0,38.91290920321186
E01000706,97.0,72.49626307922271
E01000718,98.0,42.62722923010005
E01000733,101.0,61.286407766990294
E01000764,72.0,42.603550295857985
E01000787,122.0,83.21964529331514
E01000657,108.0,70.63440156965336
E01000678,75.0,39.851222104144526
E01000724,144.0,75.9493670886076
E01000835,203.0,117.2055427251732
E01000648,98.0,53.58119190814653
E01000687,90.0,54.97861942577886
E01000692,116.0,71.64916615194565
E01000711,131.0,66.87085247575293
E01000715,84.0,47.83599088838269
E01000719,421.0,200.76299475441107
E01000727,273.0,161.15702479338842
E01000734,40.0,28.03083391730904
E01000750,86.0,56.09915198956295
E01000758,31.0,20.79141515761234
E01000767,33.0,20.158827122785585
E01000794,33.0,20.91254752851711
E01000839,30.0,20.50580997949419
E01000663,97.0,55.77918343875791
E01000670,81.0,38.42504743833017
E01000716,53.0,32.23844282238443
E01000722,316.0,177.72778402699663
E01000766,35.0,19.61883408071749
E01000792,88.0,61.711079943899016
E01000797,184.0,112.95273173726213
E01000841,76.0,47.23430702299565
E01032570,124.0,75.74832009773976
E01000681,37.0,21.27659574468085
E01000717,51.0,29.98236331569665
E01000735,108.0,69.5428203477141
E01000736,88.0,52.980132450331126
E01000737,110.0,78.29181494661921
E01000771,89.0,52.60047281323877
E01000793,33.0,21.86878727634195
E01000655,67.0,48.27089337175793
E01000713,104.0,60.08087810514154
E01000714,636.0,285.4578096947936
E01000754,69.0,40.280210157618214
E01000755,31.0,20.52980132450331
E01000760,124.0,80.1033591731266
E01000814,25.0,17.07650273224044
E01000819,147.0,84.8729792147806
E01034383,239.0,116.3583252190847
E01034385,272.0,149.53271028037383
E01000662,111.0,63.06818181818181
E01000686,59.0,37.869062901155324
E01000723,32.0,26.468155500413566
E01000730,189.0,105.94170403587444
E01000731,61.0,42.71708683473389
E01000732,52.0,33.98692810457516
E01000743,343.0,178.73892652423137
E01000800,185.0,109.33806146572104
E01000838,35.0,23.553162853297444
E01000653,53.0,34.48275862068965
E01000659,35.0,24.390243902439025
E01000671,118.0,53.51473922902494
E01000725,109.0,63.07870370370371
E01000745,105.0,55.584965590259394
E01000772,49.0,31.13087674714104
E01000828,64.0,36.322360953461974
E01000831,36.0,21.5311004784689
